,Q1,Q2,Q3,Q4,Q5,LS
20210407,0.3081785296411067,0.5387328540438616,0.4651383502015305,0.38601625840739856,0.6974970932588221,1.5169601578684502
20210408,0.30800948901479985,0.5456287085996518,0.47238102218104266,0.389470941085589,0.7143145004822986,1.5543677792298571
20210409,0.30921987511700794,0.5517603037568785,0.4770437866660368,0.3885542876893635,0.7241540981324045,1.5696708061252418
20210412,0.3186972154409967,0.5668249450104734,0.49002925125955976,0.3969997766896169,0.7629644823591009,1.6056867469410983
20210413,0.3240183329326732,0.5778038739653099,0.5005679082024895,0.40602142785701156,0.8115886575641285,1.681208812186325
20210414,0.327361927909669,0.5854236197977183,0.5100216111593796,0.41449182410536584,0.8515216393353668,1.7465814748876596
20210415,0.3313603239872533,0.5908075511405023,0.5198068567823078,0.4227288477666652,0.8968920007946236,1.8183092460391193
20210416,0.32648521603405695,0.5850827923259384,0.5201834479344775,0.4214911398648643,0.9319953720287951,1.916227585427862
20210419,0.31983010917118404,0.5735552957640928,0.5170084744162452,0.4161044982577964,0.9466955356663189,1.9855124054322504
20210420,0.31829426177853476,0.5695926373340058,0.5212639069130631,0.41311510376562355,0.962589236926545,2.0283809716674632
20210421,0.320659949150832,0.5717704501978635,0.5259550537663679,0.4170195182815462,0.9894403046086501,2.0698861819499674
20210422,0.3229314401552324,0.5754535669861721,0.5349069935148945,0.4207726005827552,1.0153097711532528,2.109341846204249
20210423,0.3335077653223536,0.5886959004345487,0.5510554234434987,0.4289297825477679,1.0494047102100585,2.111092245238695
20210426,0.34303530374517294,0.6049119204561911,0.568629010517808,0.43565626069985164,1.09042590649514,2.1333057950380487
20210427,0.3593224566547071,0.6304302403235227,0.5972559836031031,0.449377319558967,1.1554759999661526,2.159281248662436
20210428,0.3820212886674439,0.6607661258545406,0.6260014270263398,0.4679175558645403,1.2194641505953243,2.14245390565165
20210429,0.4034125365432657,0.6871326591761713,0.6551605127583304,0.4840120877950337,1.2732259100657075,2.1169404271034225
20210430,0.42983873603275624,0.7244562092934068,0.6888712327137153,0.5058805592344349,1.3263037822406123,2.066517172354314
20210506,0.4573623760010767,0.7577078987246062,0.7215486507575882,0.525638054952009,1.381752008122453,2.020586970874131
